 "GAGE No.   15:  K,I,J Coord. =     2,   39,   70;  STREAM SEGMENT =    21;  REACH =     5 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9460258E+03   2.5747705E-02   1.9459989E+03   3.7562986E+03   1.8103971E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9460194E+03   1.9375779E-02   1.9460177E+03   2.3387156E+03   1.1552529E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9460197E+03   1.9708948E-02   1.9460187E+03   2.4061150E+03   6.7444444E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9460314E+03   3.1318832E-02   1.9460251E+03   5.2065166E+03   4.1919308E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9460394E+03   3.9479293E-02   1.9460299E+03   7.6586099E+03   6.4925847E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9460400E+03   4.0067412E-02   1.9460303E+03   7.8496963E+03   6.6029649E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9460405E+03   4.0500935E-02   1.9460308E+03   7.9916816E+03   6.5762887E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9460408E+03   4.0811326E-02   1.9460311E+03   8.0940249E+03   6.5352898E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9460411E+03   4.1141946E-02   1.9460315E+03   8.2036592E+03   6.4866428E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9460416E+03   4.1587397E-02   1.9460322E+03   8.3522139E+03   6.3531384E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9460420E+03   4.2045411E-02   1.9460328E+03   8.5060703E+03   6.1984725E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9460414E+03   4.1429140E-02   1.9460328E+03   8.2992773E+03   5.7874551E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9460563E+03   5.6237072E-02   1.9460428E+03   1.3811264E+04   9.0192509E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9460444E+03   4.4408903E-02   1.9460371E+03   9.3177783E+03   4.9101081E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9460492E+03   4.9205273E-02   1.9460397E+03   1.1054746E+04   6.4596395E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9460459E+03   4.5930244E-02   1.9460381E+03   9.8558428E+03   5.3341870E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
