 "GAGE No.   10:  K,I,J Coord. =     2,   35,   37;  STREAM SEGMENT =    10;  REACH =    24 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   2.0540112E+03   1.1284578E-02   2.0540576E+03   1.2861520E+03  -3.1310314E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   2.0540159E+03   1.5877947E-02   2.0541001E+03   2.2723540E+03  -5.6806221E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   2.0540164E+03   1.6368592E-02   2.0541021E+03   2.3905830E+03  -5.7876003E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   2.0540166E+03   1.6522508E-02   2.0541025E+03   2.4281677E+03  -5.8143047E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   2.0540168E+03   1.6787963E-02   2.0541035E+03   2.4935347E+03  -5.8482456E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   2.0540168E+03   1.6899416E-02   2.0541038E+03   2.5211855E+03  -5.8672539E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   2.0540171E+03   1.6997682E-02   2.0541042E+03   2.5456555E+03  -5.8940357E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   2.0540171E+03   1.7060561E-02   2.0541047E+03   2.5613701E+03  -5.9160187E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   2.0540171E+03   1.7116783E-02   2.0541052E+03   2.5754609E+03  -5.9407692E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   2.0540171E+03   1.7210159E-02   2.0541060E+03   2.5989182E+03  -5.9850498E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   2.0540173E+03   1.7309671E-02   2.0541067E+03   2.6240107E+03  -6.0330647E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   2.0540173E+03   1.7402932E-02   2.0541074E+03   2.6476140E+03  -6.0749435E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   2.0540181E+03   1.7949719E-02   2.0541106E+03   2.7877002E+03  -6.2521976E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   2.0540181E+03   1.8094838E-02   2.0541116E+03   2.8253652E+03  -6.3098488E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   2.0540181E+03   1.8058093E-02   2.0541111E+03   2.8158096E+03  -6.2867657E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   2.0540181E+03   1.8089537E-02   2.0541113E+03   2.8239856E+03  -6.2991467E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
