 "GAGE No.   16:  K,I,J Coord. =     2,   40,   75;  STREAM SEGMENT =    23;  REACH =     5 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9340328E+03   3.2822095E-02   1.9340543E+03   3.9806853E+03  -1.4488451E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9340094E+03   9.3504498E-03   1.9340988E+03   4.9098691E+02  -6.0352222E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9340094E+03   9.4213681E-03   1.9340996E+03   4.9720886E+02  -6.0886581E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9340200E+03   2.0071954E-02   1.9341019E+03   1.7538826E+03  -5.5233616E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9340339E+03   3.3909623E-02   1.9341038E+03   4.2029458E+03  -4.7119114E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9340348E+03   3.4844425E-02   1.9341044E+03   4.3978203E+03  -4.6889111E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9340355E+03   3.5538949E-02   1.9341050E+03   4.5448765E+03  -4.6894951E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9340360E+03   3.6037553E-02   1.9341057E+03   4.6516460E+03  -4.6997971E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9340366E+03   3.6564615E-02   1.9341063E+03   4.7655884E+03  -4.7083260E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9340372E+03   3.7271984E-02   1.9341072E+03   4.9202344E+03  -4.7159084E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9340380E+03   3.7994556E-02   1.9341079E+03   5.0802349E+03  -4.7224792E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9340371E+03   3.7083428E-02   1.9341086E+03   4.8788159E+03  -4.8268330E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9340585E+03   5.8424853E-02   1.9341089E+03   1.0407435E+04  -3.4085716E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9340417E+03   4.1705299E-02   1.9341118E+03   5.9338018E+03  -4.7350697E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9340487E+03   4.8699480E-02   1.9341115E+03   7.6834253E+03  -4.2350010E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9340441E+03   4.4009976E-02   1.9341122E+03   6.4903213E+03  -4.6002544E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
