 "GAGE No.   13:  K,I,J Coord. =     2,   38,   62;  STREAM SEGMENT =    11;  REACH =     8 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9630280E+03   2.7998541E-02   1.9631544E+03   3.5267615E+03  -8.5348938E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9630179E+03   1.8002784E-02   1.9631683E+03   1.6893494E+03  -1.0150225E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9630183E+03   1.8273938E-02   1.9631689E+03   1.7319700E+03  -1.0166660E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9630327E+03   3.2774884E-02   1.9631837E+03   4.5855073E+03  -1.0186882E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9630425E+03   4.2444356E-02   1.9631940E+03   7.0553408E+03  -1.0226310E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9630431E+03   4.3120969E-02   1.9631947E+03   7.2437832E+03  -1.0235762E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9630436E+03   4.3610971E-02   1.9631956E+03   7.3814780E+03  -1.0252776E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9630439E+03   4.3958176E-02   1.9631960E+03   7.4796836E+03  -1.0267558E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9630443E+03   4.4328474E-02   1.9631967E+03   7.5850034E+03  -1.0284210E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9630448E+03   4.4823606E-02   1.9631976E+03   7.7267275E+03  -1.0313342E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9630453E+03   4.5328993E-02   1.9631986E+03   7.8724683E+03  -1.0345139E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9630446E+03   4.4566996E-02   1.9631981E+03   7.6531382E+03  -1.0367406E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9630618E+03   6.1793115E-02   1.9632178E+03   1.3194225E+04  -1.0528664E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9630479E+03   4.7885466E-02   1.9632040E+03   8.6262754E+03  -1.0537657E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9630535E+03   5.3489957E-02   1.9632096E+03   1.0373791E+04  -1.0539238E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9630496E+03   4.9597703E-02   1.9632058E+03   9.1464590E+03  -1.0541270E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
