 "GAGE No.    8:  K,I,J Coord. =     2,   35,   37;  STREAM SEGMENT =     5;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   2.0540129E+03   1.2906654E-02   2.0540576E+03   1.6315938E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   2.0540198E+03   1.9854644E-02   2.0541001E+03   3.3447549E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   2.0540220E+03   2.1929359E-02   2.0541021E+03   3.9473247E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   2.0540225E+03   2.2563772E-02   2.0541025E+03   4.1394790E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   2.0540232E+03   2.3167329E-02   2.0541035E+03   4.3256660E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   2.0540237E+03   2.3571864E-02   2.0541038E+03   4.4522827E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   2.0540239E+03   2.3813585E-02   2.0541042E+03   4.5286074E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   2.0540239E+03   2.3975991E-02   2.0541047E+03   4.5801958E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   2.0540242E+03   2.4147095E-02   2.0541052E+03   4.6348257E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   2.0540244E+03   2.4355911E-02   2.0541060E+03   4.7018135E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   2.0540247E+03   2.4567943E-02   2.0541067E+03   4.7702256E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   2.0540249E+03   2.4786847E-02   2.0541074E+03   4.8412695E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   2.0540259E+03   2.5964975E-02   2.0541106E+03   5.2308149E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   2.0540259E+03   2.5956310E-02   2.0541116E+03   5.2279062E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   2.0540261E+03   2.6001003E-02   2.0541111E+03   5.2429185E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   2.0540261E+03   2.6070287E-02   2.0541113E+03   5.2662236E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
