 "GAGE No.    3:  K,I,J Coord. =     2,   38,   71;  STREAM SEGMENT =    22;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9455032E+03   3.1440191E-03   1.9456852E+03   2.9662497E+01  -5.9324993E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9455437E+03   4.3664366E-02   1.9456963E+03   2.3801904E+03  -4.9752476E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9455444E+03   4.4434063E-02   1.9457045E+03   2.4505288E+03  -5.2154190E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9455598E+03   5.9845906E-02   1.9457146E+03   4.0252231E+03  -5.0446491E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9455598E+03   5.9856664E-02   1.9457220E+03   4.0264297E+03  -5.2859249E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9455598E+03   5.9864353E-02   1.9457273E+03   4.0272917E+03  -5.4583698E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9455598E+03   5.9869871E-02   1.9457312E+03   4.0279104E+03  -5.5820793E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9455598E+03   5.9873849E-02   1.9457339E+03   4.0283562E+03  -5.6712547E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9455599E+03   5.9876736E-02   1.9457358E+03   4.0286802E+03  -5.7360470E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9455599E+03   5.9878867E-02   1.9457373E+03   4.0289189E+03  -5.7837906E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9455599E+03   5.9880465E-02   1.9457384E+03   4.0290981E+03  -5.8196369E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9455599E+03   5.9881669E-02   1.9457393E+03   4.0292332E+03  -5.8466400E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9455599E+03   5.9887219E-02   1.9457402E+03   4.0298557E+03  -5.8771931E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9455599E+03   5.9886619E-02   1.9457408E+03   4.0297883E+03  -5.8961494E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9455599E+03   5.9888970E-02   1.9457415E+03   4.0300520E+03  -5.9178913E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9455599E+03   5.9888918E-02   1.9457419E+03   4.0300464E+03  -5.9353397E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
