 "GAGE No.    4:  K,I,J Coord. =     2,   40,   75;  STREAM SEGMENT =    16;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9340333E+03   3.3284478E-02   1.9340543E+03   5.2602734E+03  -1.4176340E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9340625E+03   6.2445767E-02   1.9340988E+03   1.5012180E+04  -2.4512884E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9340625E+03   6.2446583E-02   1.9340996E+03   1.5012507E+04  -2.5094561E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9340625E+03   6.2448557E-02   1.9341019E+03   1.5013439E+04  -2.6629406E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9340625E+03   6.2449753E-02   1.9341038E+03   1.5013911E+04  -2.7854528E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9340625E+03   6.2450115E-02   1.9341044E+03   1.5014058E+04  -2.8255268E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9340625E+03   6.2451258E-02   1.9341050E+03   1.5014400E+04  -2.8729143E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9340625E+03   6.2451918E-02   1.9341057E+03   1.5014666E+04  -2.9168274E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9340625E+03   6.2452167E-02   1.9341063E+03   1.5014848E+04  -2.9609159E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9340625E+03   6.2452450E-02   1.9341072E+03   1.5014940E+04  -3.0162268E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9340625E+03   6.2453680E-02   1.9341079E+03   1.5015417E+04  -3.0714884E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9340625E+03   6.2453996E-02   1.9341086E+03   1.5015517E+04  -3.1143192E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9340625E+03   6.2455077E-02   1.9341089E+03   1.5015849E+04  -3.1365314E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9340625E+03   6.2457431E-02   1.9341118E+03   1.5016830E+04  -3.3343006E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9340625E+03   6.2457427E-02   1.9341115E+03   1.5016849E+04  -3.3063393E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9340625E+03   6.2457502E-02   1.9341122E+03   1.5016863E+04  -3.3550468E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
