 "GAGE No.    6:  K,I,J Coord. =     2,   50,   72;  STREAM SEGMENT =    17;  REACH =     6 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9750000E+03   0.0000000E+00   1.9749932E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9750011E+03   1.1270246E-03   1.9750314E+03   2.0421425E+01  -4.0842850E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9750012E+03   1.2600546E-03   1.9750377E+03   2.4594889E+01  -4.9189777E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9750012E+03   1.2606438E-03   1.9750377E+03   2.4614059E+01  -4.9228119E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9750012E+03   1.2666954E-03   1.9750380E+03   2.4811293E+01  -4.9622585E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9750012E+03   1.2685270E-03   1.9750381E+03   2.4871111E+01  -4.9742222E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9750012E+03   1.2745756E-03   1.9750385E+03   2.5068989E+01  -5.0137978E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9750012E+03   1.2796291E-03   1.9750387E+03   2.5234863E+01  -5.0469727E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9750013E+03   1.2853108E-03   1.9750389E+03   2.5421946E+01  -5.0843891E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9750013E+03   1.2964072E-03   1.9750396E+03   2.5788771E+01  -5.1577541E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9750013E+03   1.3085394E-03   1.9750402E+03   2.6192238E+01  -5.2384476E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9750013E+03   1.3180017E-03   1.9750406E+03   2.6508654E+01  -5.3017307E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9750013E+03   1.3717680E-03   1.9750430E+03   2.8335320E+01  -5.6184750E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9750013E+03   1.3878382E-03   1.9750439E+03   2.8890717E+01  -5.7399078E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9750013E+03   1.3800178E-03   1.9750435E+03   2.8619904E+01  -5.6881763E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9750013E+03   1.3822163E-03   1.9750437E+03   2.8695932E+01  -5.7074036E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
